波长	强度	x	y	z
380	1.092	0.001368	3.9E-05	0.006450001
385	0	0.002236	6.4E-05	0.01054999
390	0.8365	0.004243	0.00012	0.02005001
395	1.0715	0.00765	0.000217	0.03621
400	0	0.01431	0.000396	0.06785001
405	1.4115	0.02319	0.00064	0.1102
410	1.13	0.04351	0.00121	0.2074
415	0.877	0.07763	0.00218	0.3713
420	0.441	0.13438	0.004	0.6456
425	0	0.21477	0.0073	1.0390501
430	0	0.2839	0.0116	1.3856
435	0.6295	0.3285	0.01684	1.62296
440	1.7995	0.34828	0.023	1.74706
445	0.5345	0.34806	0.0298	1.7826
450	2.79	0.3362	0.038	1.77211
455	2.9515	0.3187	0.048	1.7441
460	4.5105	0.2903	0.06	1.6692
465	5.2915	0.251	0.0739	1.5281
470	3.687	0.19536	0.09098	1.28764
475	2.082	0.1421	0.1126	1.0419
480	1.4975	0.09564	0.13902	0.8129501
485	0.786	0.05795001	0.1693	0.6162
490	0.679	0.03201	0.20802	0.46518
495	0	0.0147	0.2586	0.3533
500	1.0755	0.0049	0.323	0.272
505	0.691	0.0024	0.4073	0.2123
510	0.297	0.0093	0.503	0.1582
515	0	0.0291	0.6082	0.1117
520	0.196	0.06327	0.71	0.07824999
525	0.097	0.1096	0.7932	0.05725001
530	0.4715	0.1655	0.862	0.04216
535	0.1835	0.2257499	0.9148501	0.02984
540	0	0.2904	0.954	0.0203
545	0.4025	0.3597	0.9803	0.0134
550	0.4355	0.4334499	0.9949501	0.008749999
555	0.07	0.5120501	1	0.005749999
560	0	0.5945	0.995	0.0039
565	0	0.6784	0.9876	0.00274999
570	0.1825	0.7621	0.952	0.0021
575	0	0.8425	0.9154	0.0018
580	0.1165	0.9163	0.87	0.001650001
585	0	0.9786	0.8163	0.0014
590	0	1.0263	0.757	0.0011
595	0	1.0567	0.6949	0.001
600	0.12	1.0622	0.631	0.0008
605	0	1.0456	0.5668	0.0006
610	0	1.0026	0.503	0.00034
615	0.13	0.9384	0.4412	0.00024
620	0.133	0.8544499	0.381	0.00019
625	0	0.7514	0.321	0.0001
630	0	0.6424	0.265	5E-05
635	0.139	0.5419	0.217	3E-05
640	0.6315	0.4479	0.175	2E-05
645	0	0.3608	0.1382	1E-05
650	0	0.2835	0.107	0
655	0	0.2187	0.0816	0
660	0.142	0.1649	0.061	0
665	0.1425	0.1212	0.04458	0
670	0.1415	0.0874	0.032	0
675	0.283	0.0636	0.0232	0
680	0.421	0.04677	0.017	0
685	0.14	0.0329	0.01192	0
690	0.209	0.0227	0.00821	0
695	0	0.01584	0.005723	0
700	0	0.01135916	0.004102	0
705	0.548	0.008110916	0.002929	0
710	0.271	0.005790346	0.002091	0
715	0.6015	0.004109457	0.001484	0
720	0.132	0.002899327	0.001047	0
725	0	0.00204919	0.00074	0
730	0.132	0.001439971	0.00052	0
735	0.066	0.001	0.000361	0
740	0.398	0.00069	0.000249	0
745	0	0.000476	0.000172	0
750	0	0.000332	0.00012	0
755	0.2785	0.000235	8.5E-05	0
760	0	0.000166	6E-05	0
765	0.074	0.000117	4.2E-05	0
770	0.3075	8.3E-05	3E-05	0
775	0	5.9E-05	2.1E-05	0
780	0.581	4.2E-05	1.5E-05	0
380	1.092	0.001368	3.9E-05	0.006450001
385	0	0.002236	6.4E-05	0.01054999
390	0.8365	0.004243	0.00012	0.02005001
395	1.0715	0.00765	0.000217	0.03621
400	0	0.01431	0.000396	0.06785001
405	1.4115	0.02319	0.00064	0.1102
410	1.13	0.04351	0.00121	0.2074
415	0.877	0.07763	0.00218	0.3713
420	0.441	0.13438	0.004	0.6456
425	0	0.21477	0.0073	1.0390501
430	0	0.2839	0.0116	1.3856
435	0.6295	0.3285	0.01684	1.62296
440	1.7995	0.34828	0.023	1.74706
445	0.5345	0.34806	0.0298	1.7826
450	2.79	0.3362	0.038	1.77211
455	2.9515	0.3187	0.048	1.7441
460	4.5105	0.2903	0.06	1.6692
465	5.2915	0.251	0.0739	1.5281
470	3.687	0.19536	0.09098	1.28764
475	2.082	0.1421	0.1126	1.0419
480	1.4975	0.09564	0.13902	0.8129501
485	0.786	0.05795001	0.1693	0.6162
490	0.679	0.03201	0.20802	0.46518
495	0	0.0147	0.2586	0.3533
500	1.0755	0.0049	0.323	0.272
505	0.691	0.0024	0.4073	0.2123
510	0.297	0.0093	0.503	0.1582
515	0	0.0291	0.6082	0.1117
520	0.196	0.06327	0.71	0.07824999
525	0.097	0.1096	0.7932	0.05725001
530	0.4715	0.1655	0.862	0.04216
535	0.1835	0.2257499	0.9148501	0.02984
540	0	0.2904	0.954	0.0203
545	0.4025	0.3597	0.9803	0.0134
550	0.4355	0.4334499	0.9949501	0.008749999
555	0.07	0.5120501	1	0.005749999
560	0	0.5945	0.995	0.0039
565	0	0.6784	0.9876	0.00274999
570	0.1825	0.7621	0.952	0.0021
575	0	0.8425	0.9154	0.0018
580	0.1165	0.9163	0.87	0.001650001
585	0	0.9786	0.8163	0.0014
590	0	1.0263	0.757	0.0011
595	0	1.0567	0.6949	0.001
600	0.12	1.0622	0.631	0.0008
605	0	1.0456	0.5668	0.0006
610	0	1.0026	0.503	0.00034
615	0.13	0.9384	0.4412	0.00024
620	0.133	0.8544499	0.381	0.00019
625	0	0.7514	0.321	0.0001
630	0	0.6424	0.265	5E-05
635	0.139	0.5419	0.217	3E-05
640	0.6315	0.4479	0.175	2E-05
645	0	0.3608	0.1382	1E-05
650	0	0.2835	0.107	0
655	0	0.2187	0.0816	0
660	0.142	0.1649	0.061	0
665	0.1425	0.1212	0.04458	0
670	0.1415	0.0874	0.032	0
675	0.283	0.0636	0.0232	0
680	0.421	0.04677	0.017	0
685	0.14	0.0329	0.01192	0
690	0.209	0.0227	0.00821	0
695	0	0.01584	0.005723	0
700	0	0.01135916	0.004102	0
705	0.548	0.008110916	0.002929	0
710	0.271	0.005790346	0.002091	0
715	0.6015	0.004109457	0.001484	0
720	0.132	0.002899327	0.001047	0
725	0	0.00204919	0.00074	0
730	0.132	0.001439971	0.00052	0
735	0.066	0.001	0.000361	0
740	0.398	0.00069	0.000249	0
745	0	0.000476	0.000172	0
750	0	0.000332	0.00012	0
755	0.2785	0.000235	8.5E-05	0
760	0	0.000166	6E-05	0
765	0.074	0.000117	4.2E-05	0
770	0.3075	8.3E-05	3E-05	0
775	0	5.9E-05	2.1E-05	0
780	0.581	4.2E-05	1.5E-05	0
